,quarterbacks
0,Deshaun Watson (deshaun-watson-1)
1,Nick Schuessler (nick-schuessler-1)
2,Kelly Bryant (kelly-bryant-1)
3,Tucker Israel (tucker-israel-1)
4,James Barnes (james-barnes-1)
5,Lamar Jackson (lamar-jackson-1)
6,Kyle Bolin (kyle-bolin-1)
7,Ethan Horton (ethan-horton-2)
8,Jawon Pass (jawon-pass-1)
9,Deondre Francois (deondre-francois-1)
10,Sean Maguire (sean-maguire-1)
11,J.J. Cosentino (jj-cosentino-1)
12,Ryan Finley (ryan-finley-1)
13,Jalan McClendon (jalan-mcclendon-1)
14,Deshaun Watson (deshaun-watson-1)
15,Nick Schuessler (nick-schuessler-1)
16,Kelly Bryant (kelly-bryant-1)
17,Tucker Israel (tucker-israel-1)
18,James Barnes (james-barnes-1)
19,Lamar Jackson (lamar-jackson-1)
20,Kyle Bolin (kyle-bolin-1)
21,Ethan Horton (ethan-horton-2)
22,Jawon Pass (jawon-pass-1)
23,Deondre Francois (deondre-francois-1)
24,Sean Maguire (sean-maguire-1)
25,J.J. Cosentino (jj-cosentino-1)
26,Ryan Finley (ryan-finley-1)
27,Jalan McClendon (jalan-mcclendon-1)
28,John Wolford (john-wolford-1)
29,Kyle Kearns (kyle-kearns-1)
30,Patrick Towles (patrick-towles-1)
31,Darius Wade (darius-wade-1)
32,Eric Dungey (eric-dungey-1)
33,Zack Mahoney (zack-mahoney-1)
34,Austin Wilson (austin-wilson-2)
35,Jerod Evans (jerod-evans-1)
36,Brenden Motley (brenden-motley-1)
37,Jack Click (jack-click-1)
38,Brad Kaaya (brad-kaaya-1)
39,Malik Rosier (malik-rosier-1)
40,Mitch Trubisky (mitch-trubisky-1)
41,Nathan Elliott (nathan-elliott-1)
42,Nathan Peterman (nathan-peterman-1)
43,Ben DiNucci (ben-dinucci-1)
44,Manny Stocker (manny-stocker-1)
45,Justin Thomas (justin-thomas-3)
46,Matthew Jordan (matthew-jordan-1)
47,TaQuon Marshall (taquon-marshall-1)
48,Jay Jones (jay-jones-5)
49,Daniel Jones (daniel-jones-4)
50,Parker Boehme (parker-boehme-1)
51,Quentin Harris (quentin-harris-2)
52,Kurt Benkert (kurt-benkert-1)
53,Matt Johns (matt-johns-1)
54,Connor Brewer (connor-brewer-1)
55,Joe Spaziani (joe-spaziani-1)
56,P.J. Walker (pj-walker-1)
57,Logan Marchi (logan-marchi-1)
58,Frank Nutile (frank-nutile-1)
59,Quinton Flowers (quinton-flowers-1)
60,Brett Kean (brett-kean-1)
61,McKenzie Milton (mckenzie-milton-1)
62,Justin Holman (justin-holman-1)
63,Nick Patti (nick-patti-1)
64,Hayden Moore (hayden-moore-1)
65,Gunner Kiel (gunner-kiel-1)
66,Ross Trail (ross-trail-1)
67,Bryant Shirreffs (bryant-shirreffs-1)
68,Garrett Anderson (garrett-anderson-2)
69,Philip Nelson (philip-nelson-1)
70,Gardner Minshew (gardner-minshew-1)
71,Will Worth (will-worth-1)
72,Tago Smith (tago-smith-1)
73,Malcolm Perry (malcolm-perry-1)
74,Dane Evans (dane-evans-1)
75,Ryan Rubley (ryan-rubley-1)
76,Chad President (chad-president-1)
77,Greg Ward Jr. (greg-ward-jr-1)
78,Kyle Postma (kyle-postma-1)
79,D'Eriq King (deriq-king-1)
80,Riley Ferguson (riley-ferguson-1)
81,Jason Stewart (jason-stewart-3)
82,Ben Hicks (ben-hicks-1)
83,Matt Davis (matt-davis-4)
84,Darrel Colbert (darrel-colbert-1)
85,Glen Cuiellette (glen-cuiellette-1)
86,Johnathan Brantley (johnathan-brantley-1)
87,Baker Mayfield (baker-mayfield-1)
88,Austin Kendall (austin-kendall-1)
89,Mason Rudolph (mason-rudolph-1)
90,Taylor Cornelius (taylor-cornelius-1)
91,John Kolar (john-kolar-1)
92,Skyler Howard (skyler-howard-1)
93,Chris Chugunov (chris-chugunov-1)
94,William Crest (william-crest-1)
95,Jesse Ertz (jesse-ertz-1)
96,Joe Hubener (joe-hubener-1)
97,Alex Delton (alex-delton-1)
98,Kenny Hill (kenny-hill-1)
99,Foster Sawyer (foster-sawyer-1)
100,Grayson Muehlstein (grayson-muehlstein-1)
101,Seth Russell (seth-russell-1)
102,Zach Smith (zach-smith-6)
103,Preston Heard (preston-heard-1)
104,Zack Bennema (zack-bennema-1)
105,Shane Buechele (shane-buechele-1)
106,Tyrone Swoopes (tyrone-swoopes-1)
107,Matthew Merrick (matthew-merrick-1)
108,Patrick Mahomes (patrick-mahomes-1)
109,Nic Shimonek (nic-shimonek-1)
110,Jacob Park (jacob-park-1)
111,Kyle Kempt (kyle-kempt-1)
112,Montell Cozart (montell-cozart-1)
113,Carter Stanley (carter-stanley-1)
114,Ryan Willis (ryan-willis-2)
115,Trace McSorley (trace-mcsorley-1)
116,Tommy Stevens (tommy-stevens-1)
117,J.T. Barrett (jt-barrett-1)
118,Joe Burrow (joe-burrow-1)
119,Wilton Speight (wilton-speight-1)
120,John O'Korn (john-okorn-1)
121,Shane Morris (shane-morris-1)
122,Richard Lagow (richard-lagow-1)
123,Zander Diamont (zander-diamont-1)
124,Perry Hills (perry-hills-1)
125,Caleb Rowe (caleb-rowe-1)
126,Max Bortenschlager (max-bortenschlager-1)
127,Tyler O'Connor (tyler-oconnor-1)
128,Brian Lewerke (brian-lewerke-1)
129,Damion Terry (damion-terry-1)
130,Colar Kuhns (colar-kuhns-1)
131,Giovanni Rescigno (giovanni-rescigno-1)
132,Chris Laviano (chris-laviano-1)
133,Zach Allen (zach-allen-4)
134,Tylin Oden (tylin-oden-1)
135,Alex Hornibrook (alex-hornibrook-1)
136,Bart Houston (bart-houston-1)
137,C.J. Beathard (cj-beathard-1)
138,Nathan Stanley (nathan-stanley-2)
139,Tommy Armstrong Jr (tommy-armstrong-jr-1)
140,Ryker Fyfe (ryker-fyfe-1)
141,Mitch Leidner (mitch-leidner-1)
142,Conor Rhoda (conor-rhoda-1)
143,Clayton Thorson (clayton-thorson-1)
144,Matt Alviti (matt-alviti-1)
145,Ifeadi Odenigbo (ifeadi-odenigbo-1)
146,Wes Lunt (wes-lunt-1)
147,Jeff George Jr. (jeff-george-jr-1)
148,Chayce Crouch (chayce-crouch-1)
149,David Blough (david-blough-1)
