,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,8.7,1,814.0,0,0,0,0,,,6-3,0,0,32.0,0,Deshaun Watson,,1207.0,0,67.4,90.0,10168.0,8.4,deshaun-watson-1,435,156,QB,0,157.5,0.0,0.0,,0.0,435.0,26.0,1934.0,4.4,26,1.0,,Career,5,2.0,Clemson,6,26,,215,1934,4.4,,0,,
Career,8.8,,44.0,,,,,,,6-3,,,1.0,,Nick Schuessler,,66.0,,66.7,3.0,564.0,8.5,nick-schuessler-1,23,,QB,,150.4,0.0,0.0,,0.0,23.0,0.0,3.0,0.1,0,,,Career,,,Clemson,,,,196,3,0.1,,,,
Career,7.2,0,492.0,0,0,0,0,,,6-4,0,0,16.0,0,Kelly Bryant,,762.0,0,64.6,31.0,5553.0,7.3,kelly-bryant-1,363,102,QB,0,135.0,0.0,0.0,,0.0,363.0,17.0,1215.0,3.3,17,0.0,,Career,6,0.0,Overall,6,17,,225,1215,3.3,,0,,
Career,6.3,,4.0,,,,,,,5-10,,,0.0,,Tucker Israel,,4.0,,100.0,0.0,25.0,6.3,tucker-israel-1,1,,QB,,152.5,0.0,0.0,,0.0,1.0,0.0,2.0,2.0,0,,,Career,,,Clemson,,,,180,2,2.0,,,,
Career,9.0,,1.0,,,,,,,6-1,,,0.0,,James Barnes,,1.0,,100.0,0.0,9.0,9.0,james-barnes-1,,,QB,,175.6,,,,,,,,,,,,Career,,,Clemson,,,,175,,,,,,
Career,8.5,0,619.0,0,0,0,0,,,6-3,0,0,27.0,0,Lamar Jackson,,1086.0,0,57.0,69.0,9043.0,8.3,lamar-jackson-1,655,300,QB,0,142.9,0,0,,0,655,50,4132,6.3,50,0.0,,Career,6,0.0,Louisville,6,50,,211,4132,6.3,,0,,
Career,6.4,0,214.0,,,0,0,,,6-2,0,0,16.0,,Kyle Bolin,,375.0,0,57.1,16.0,2815.0,7.5,kyle-bolin-1,41,,QB,,125.7,0,-8,-8.0,1,40,0,-81,-2.0,0,0.0,,Career,1,1.0,Overall,1,,,210,-89,-2.2,,0,,
Career,,,,,,,,,,6-0,,,,,Ethan Horton,,,,,,,,ethan-horton-2,1,,QB,,,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0,,,Career,,,Louisville,,,,205,1,1.0,,,,
Career,5.9,2,211,0,0,0,0,,,6-4,0,0,13,0,Jawon Pass,,382,1,55.2,14,2545,6.7,jawon-pass-1,113,30,QB,0,116.5,0,-5,-5.0,1,112,5,255,2.3,5,0.0,,Career,6,0.0,Louisville,8,5.0,,228,250,2.2,,0,,
Career,7.3,0.0,481.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,21.0,0.0,Deondre Francois,,829.0,0.0,58.0,36.0,6291.0,7.6,deondre-francois-1,195,48,QB,0.0,131.0,0.0,0.0,,0.0,195.0,8.0,205.0,1.1,8,0.0,,Career,1.0,0.0,Florida State,1.0,8,,205,205,1.1,,0.0,,
