,Series ID,Year,Period,Label,Value,Month_Num,Month_Year
444,CES2000000010,2000,M01,2000 Jan,844.0,1,2000-01-01
445,CES2000000010,2000,M02,2000 Feb,847.0,2,2000-02-01
446,CES2000000010,2000,M03,2000 Mar,847.0,3,2000-03-01
447,CES2000000010,2000,M04,2000 Apr,848.0,4,2000-04-01
448,CES2000000010,2000,M05,2000 May,849.0,5,2000-05-01
449,CES2000000010,2000,M06,2000 Jun,849.0,6,2000-06-01
450,CES2000000010,2000,M07,2000 Jul,849.0,7,2000-07-01
451,CES2000000010,2000,M08,2000 Aug,848.0,8,2000-08-01
452,CES2000000010,2000,M09,2000 Sep,848.0,9,2000-09-01
453,CES2000000010,2000,M10,2000 Oct,847.0,10,2000-10-01
454,CES2000000010,2000,M11,2000 Nov,843.0,11,2000-11-01
455,CES2000000010,2000,M12,2000 Dec,833.0,12,2000-12-01
456,CES2000000010,2001,M01,2001 Jan,827.0,1,2001-01-01
457,CES2000000010,2001,M02,2001 Feb,832.0,2,2001-02-01
458,CES2000000010,2001,M03,2001 Mar,834.0,3,2001-03-01
459,CES2000000010,2001,M04,2001 Apr,833.0,4,2001-04-01
460,CES2000000010,2001,M05,2001 May,833.0,5,2001-05-01
461,CES2000000010,2001,M06,2001 Jun,833.0,6,2001-06-01
462,CES2000000010,2001,M07,2001 Jul,831.0,7,2001-07-01
463,CES2000000010,2001,M08,2001 Aug,831.0,8,2001-08-01
464,CES2000000010,2001,M09,2001 Sep,832.0,9,2001-09-01
465,CES2000000010,2001,M10,2001 Oct,831.0,10,2001-10-01
466,CES2000000010,2001,M11,2001 Nov,828.0,11,2001-11-01
467,CES2000000010,2001,M12,2001 Dec,831.0,12,2001-12-01
468,CES2000000010,2002,M01,2002 Jan,831.0,1,2002-01-01
469,CES2000000010,2002,M02,2002 Feb,830.0,2,2002-02-01
470,CES2000000010,2002,M03,2002 Mar,831.0,3,2002-03-01
471,CES2000000010,2002,M04,2002 Apr,827.0,4,2002-04-01
472,CES2000000010,2002,M05,2002 May,826.0,5,2002-05-01
473,CES2000000010,2002,M06,2002 Jun,822.0,6,2002-06-01
