,Series ID,Year,Period,Label,Value,Month_Num,Month_Year
1995,CES9000000010,2000,M01,2000 Jan,11658.0,1,2000-01-01
1996,CES9000000010,2000,M02,2000 Feb,11679.0,2,2000-02-01
1997,CES9000000010,2000,M03,2000 Mar,11755.0,3,2000-03-01
1998,CES9000000010,2000,M04,2000 Apr,11791.0,4,2000-04-01
1999,CES9000000010,2000,M05,2000 May,12027.0,5,2000-05-01
2000,CES9000000010,2000,M06,2000 Jun,11870.0,6,2000-06-01
2001,CES9000000010,2000,M07,2000 Jul,11764.0,7,2000-07-01
2002,CES9000000010,2000,M08,2000 Aug,11791.0,8,2000-08-01
2003,CES9000000010,2000,M09,2000 Sep,11747.0,9,2000-09-01
2004,CES9000000010,2000,M10,2000 Oct,11726.0,10,2000-10-01
2005,CES9000000010,2000,M11,2000 Nov,11749.0,11,2000-11-01
2006,CES9000000010,2000,M12,2000 Dec,11752.0,12,2000-12-01
2007,CES9000000010,2001,M01,2001 Jan,11803.0,1,2001-01-01
2008,CES9000000010,2001,M02,2001 Feb,11829.0,2,2001-02-01
2009,CES9000000010,2001,M03,2001 Mar,11858.0,3,2001-03-01
2010,CES9000000010,2001,M04,2001 Apr,11894.0,4,2001-04-01
2011,CES9000000010,2001,M05,2001 May,11919.0,5,2001-05-01
2012,CES9000000010,2001,M06,2001 Jun,11952.0,6,2001-06-01
2013,CES9000000010,2001,M07,2001 Jul,12070.0,7,2001-07-01
2014,CES9000000010,2001,M08,2001 Aug,12074.0,8,2001-08-01
2015,CES9000000010,2001,M09,2001 Sep,12192.0,9,2001-09-01
2016,CES9000000010,2001,M10,2001 Oct,12178.0,10,2001-10-01
2017,CES9000000010,2001,M11,2001 Nov,12197.0,11,2001-11-01
2018,CES9000000010,2001,M12,2001 Dec,12222.0,12,2001-12-01
2019,CES9000000010,2002,M01,2002 Jan,12251.0,1,2002-01-01
2020,CES9000000010,2002,M02,2002 Feb,12263.0,2,2002-02-01
2021,CES9000000010,2002,M03,2002 Mar,12291.0,3,2002-03-01
2022,CES9000000010,2002,M04,2002 Apr,12295.0,4,2002-04-01
2023,CES9000000010,2002,M05,2002 May,12339.0,5,2002-05-01
2024,CES9000000010,2002,M06,2002 Jun,12326.0,6,2002-06-01
2025,CES9000000010,2002,M07,2002 Jul,12347.0,7,2002-07-01
2026,CES9000000010,2002,M08,2002 Aug,12399.0,8,2002-08-01
2027,CES9000000010,2002,M09,2002 Sep,12347.0,9,2002-09-01
2028,CES9000000010,2002,M10,2002 Oct,12341.0,10,2002-10-01
2029,CES9000000010,2002,M11,2002 Nov,12346.0,11,2002-11-01
2030,CES9000000010,2002,M12,2002 Dec,12356.0,12,2002-12-01
2031,CES9000000010,2003,M01,2003 Jan,12341.0,1,2003-01-01
2032,CES9000000010,2003,M02,2003 Feb,12342.0,2,2003-02-01
2033,CES9000000010,2003,M03,2003 Mar,12338.0,3,2003-03-01
2034,CES9000000010,2003,M04,2003 Apr,12352.0,4,2003-04-01
2035,CES9000000010,2003,M05,2003 May,12336.0,5,2003-05-01
2036,CES9000000010,2003,M06,2003 Jun,12334.0,6,2003-06-01
2037,CES9000000010,2003,M07,2003 Jul,12332.0,7,2003-07-01
2038,CES9000000010,2003,M08,2003 Aug,12223.0,8,2003-08-01
2039,CES9000000010,2003,M09,2003 Sep,12316.0,9,2003-09-01
2040,CES9000000010,2003,M10,2003 Oct,12324.0,10,2003-10-01
2041,CES9000000010,2003,M11,2003 Nov,12327.0,11,2003-11-01
2042,CES9000000010,2003,M12,2003 Dec,12344.0,12,2003-12-01
2043,CES9000000010,2004,M01,2004 Jan,12345.0,1,2004-01-01
2044,CES9000000010,2004,M02,2004 Feb,12344.0,2,2004-02-01
2045,CES9000000010,2004,M03,2004 Mar,12360.0,3,2004-03-01
2046,CES9000000010,2004,M04,2004 Apr,12366.0,4,2004-04-01
2047,CES9000000010,2004,M05,2004 May,12352.0,5,2004-05-01
2048,CES9000000010,2004,M06,2004 Jun,12320.0,6,2004-06-01
2049,CES9000000010,2004,M07,2004 Jul,12321.0,7,2004-07-01
2050,CES9000000010,2004,M08,2004 Aug,12245.0,8,2004-08-01
