Series ID,Year,Period,Label,Value
CES0000000001,2000,M01,2000 Jan,131005
CES0000000001,2000,M02,2000 Feb,131124
CES0000000001,2000,M03,2000 Mar,131596
CES0000000001,2000,M04,2000 Apr,131888
CES0000000001,2000,M05,2000 May,132105
CES0000000001,2000,M06,2000 Jun,132061
CES0000000001,2000,M07,2000 Jul,132236
CES0000000001,2000,M08,2000 Aug,132230
CES0000000001,2000,M09,2000 Sep,132353
CES0000000001,2000,M10,2000 Oct,132351
CES0000000001,2000,M11,2000 Nov,132556
CES0000000001,2000,M12,2000 Dec,132709
CES0000000001,2001,M01,2001 Jan,132698
CES0000000001,2001,M02,2001 Feb,132789
CES0000000001,2001,M03,2001 Mar,132747
CES0000000001,2001,M04,2001 Apr,132463
CES0000000001,2001,M05,2001 May,132410
CES0000000001,2001,M06,2001 Jun,132299
CES0000000001,2001,M07,2001 Jul,132177
CES0000000001,2001,M08,2001 Aug,132028
CES0000000001,2001,M09,2001 Sep,131771
CES0000000001,2001,M10,2001 Oct,131454
CES0000000001,2001,M11,2001 Nov,131142
CES0000000001,2001,M12,2001 Dec,130982
CES0000000001,2002,M01,2002 Jan,130852
CES0000000001,2002,M02,2002 Feb,130736
CES0000000001,2002,M03,2002 Mar,130717
CES0000000001,2002,M04,2002 Apr,130623
CES0000000001,2002,M05,2002 May,130634
CES0000000001,2002,M06,2002 Jun,130684
CES0000000001,2002,M07,2002 Jul,130590
CES0000000001,2002,M08,2002 Aug,130587
CES0000000001,2002,M09,2002 Sep,130501
CES0000000001,2002,M10,2002 Oct,130628
CES0000000001,2002,M11,2002 Nov,130615
CES0000000001,2002,M12,2002 Dec,130472
CES0000000001,2003,M01,2003 Jan,130580
CES0000000001,2003,M02,2003 Feb,130444
CES0000000001,2003,M03,2003 Mar,130232
CES0000000001,2003,M04,2003 Apr,130177
CES0000000001,2003,M05,2003 May,130196
CES0000000001,2003,M06,2003 Jun,130194
CES0000000001,2003,M07,2003 Jul,130191
CES0000000001,2003,M08,2003 Aug,130149
CES0000000001,2003,M09,2003 Sep,130254
CES0000000001,2003,M10,2003 Oct,130454
CES0000000001,2003,M11,2003 Nov,130474
CES0000000001,2003,M12,2003 Dec,130588
CES0000000001,2004,M01,2004 Jan,130769
CES0000000001,2004,M02,2004 Feb,130825
CES0000000001,2004,M03,2004 Mar,131142
CES0000000001,2004,M04,2004 Apr,131411
CES0000000001,2004,M05,2004 May,131694
CES0000000001,2004,M06,2004 Jun,131793
CES0000000001,2004,M07,2004 Jul,131848
CES0000000001,2004,M08,2004 Aug,131937
CES0000000001,2004,M09,2004 Sep,132093
CES0000000001,2004,M10,2004 Oct,132447
CES0000000001,2004,M11,2004 Nov,132503
CES0000000001,2004,M12,2004 Dec,132624
CES0000000001,2005,M01,2005 Jan,132774
CES0000000001,2005,M02,2005 Feb,133032
CES0000000001,2005,M03,2005 Mar,133156
CES0000000001,2005,M04,2005 Apr,133518
CES0000000001,2005,M05,2005 May,133690
